1, 0.0311341, 1
2, 0.0622682, 1
3, 0.0934178, 1
4, 0.124567, 1
5, 0.155732, 1
6, 0.186897, 1
7, 0.218078, 1
8, 0.249258, 1
9, 0.280454, 1
10, 0.31165, 1
11, 0.342861, 1
12, 0.374072, 1
13, 0.405299, 1
14, 0.436526, 1
15, 0.467768, 1
16, 0.49901, 1
17, 0.530268, 1
18, 0.561525, 1
19, 0.592798, 1
20, 0.624072, 1
21, 0.65536, 1
22, 0.686649, 1
23, 0.717953, 1
24, 0.749257, 1
25, 0.780577, 1
26, 0.811896, 1
27, 0.843231, 1
28, 0.874566, 1
29, 0.905917, 1
30, 0.937268, 1
31, 0.968634, 1
32, 1, 1
33, 1, 1
